Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
D. & R. HENDERSON PTY LTD,22 000 449 392,"14,181","37,254","523,251",-
DACIAN GOLD LTD,61 154 262 978,"100,816",47,"1,646,440",-
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,"1,055","89,672","420,399",-
DBNGP (WA) TRANSMISSION PTY LIMITED,69 081 609 190,"249,284","1,140","4,210,282",-
DEAKIN UNIVERSITY,56 721 584 203,"8,528","56,663","354,241",-
DELTA ELECTRICITY PTY LTD,66 620 205 263,"6,844,759","60,872","49,321,851",-
DEXUS HOLDINGS PTY LIMITED,48 110 366 946,"17,624","127,528","689,116",-
DOWNER EDI LIMITED,97 003 872 848,"246,009","82,214","4,320,627",-
DP WORLD AUSTRALIA (HOLDING) PTY LTD,58 147 892 715,"27,778","46,040","586,171",-
DXC TECHNOLOGY AUSTRALIA HOLDINGS PTY LTD,33 120 570 390,389,"89,758","372,570",-
EASTERN METROPOLITAN REGIONAL COUNCIL,89 631 866 056,"121,429",716,"33,203",-
ELECTRANET PTY LIMITED,41 094 482 416,"3,182","173,371","1,226,599",-
ELECTRICITY GENERATION AND RETAIL CORPORATION,58 673 830 106,"5,904,711","10,304","48,438,299",-
ELECTRICITY NETWORKS CORPORATION,18 540 492 861,"33,440","673,509","3,839,698",-
EMERGENT COLD TOPCO PTY LTD,80 622 089 909,"34,584","57,440","738,012",-
EMR CAPITAL GOLDEN GROVE PTY LTD,76 616 179 705,"22,516","96,866","834,980",-
ENERGY QUEENSLAND LIMITED,96 612 535 583,"131,414","1,615,814","8,547,454",-
ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,"20,086,342","240,649","162,991,273",-
ENSCO AUSTRALIA PTY LIMITED,79 100 601 634,"51,390",115,"734,351",-
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,"19,050","649,728","2,999,389",-
EPWORTH FOUNDATION,97 420 694 950,"8,392","47,704","323,138",-
EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,747,"251,100","1,042,013",-
ERM POWER LIMITED,28 122 259 223,"124,652","5,296","1,751,409",-
ESPERANCE POWER STATION PTY LTD,24 086 409 949,"51,930",0,"786,411",-
ESSENTIAL ENERGY,37 428 185 226,"26,921","623,378","3,005,860",-
EVENT HOSPITALITY AND ENTERTAINMENT LTD,51 000 005 103,"12,281","127,170","798,615",-
EVOLUTION MINING LIMITED,74 084 669 036,"155,080","383,449","3,986,903",-
EXXONMOBIL AUSTRALIA PTY LTD,48 091 561 198,"2,890,748","224,632","37,393,462",-
