2016,1, 
2016,2,
2016,3, 
2022,29,Croatia,55.96
2022,30,Italy,55.39
2022,31,Thailand,55.01
2022,32,Estonia,54.98
2022,33,Brazil,54.86
2022,34,Spain,54.35
2022,35,New Zealand,54.03
2022,36,Romania,52.43
2022,37,Austria,52.35
2022,38,China,52.20
2022,39,South Africa,51.13
2022,40,Slovak Republic,50.67
2022,41,Turkey,50.53
2022,42,Cyprus,50.52
2022,43,Viet Nam,49.21
2022,44,Bulgaria,48.71
2022,45,Japan,48.53
2022,46,Ireland,47.86
2022,47,Argentina,47.08
2022,48,Belarus,46.66
2022,49,Belgium,45.90
2022,50,Slovenia,43.28
2022,51,Czech Republic,42.15
2022,52,Poland,40.63
2022,53,Hungary,40.41
2022,54,Algeria,39.91
2022,55,United States,37.39
2022,56,Russian Federation,34.73
2022,57,Malaysia,33.74
2022,58,Chinese Taipei,30.70
2022,59,Australia,30.06
2022,60,Korea,26.74
2022,61,Canada,26.03
2022,62,Islamic Republic of Iran,25.66
2022,63,Saudi Arabia,24.25
2022,64,Kazakhstan,19.23
2008,1,Sweden,65.6
2008,2,Germany,64.5
2008,3,Iceland,62.6
2008,4,Mexico,62.5
2008,5,India,62.4
2008,6,Hungary,61.0
2008,7,United Kingdom,59.2
2008,8,Brazil,59.0
2008,9,Switzerland,59.0
2008,10,Argentina,58.5
2008,11,Latvia,58.1
2008,12,Belgium,57.9
2008,13,Portugal,57.9
2008,14,Malta,57.8
2008,15,Indonesia,57.6
2008,16,Norway,57.6
2008,17,Denmark,57.3
2008,18,France,56.8
2008,19,Slovak Republic,56.5
2008,20,Lithuania,55.9
2008,21,Turkey,55.7
2008,22,Bulgaria,55.5
2008,23,Morocco,54.8
2008,24,Slovenia,54.2
2008,25,Czech Republic,51.9
2008,26,Thailand,51.7
2008,27,Romania,51.5
2008,28,Algeria,50.5
2008,29,Spain,50.1
2008,30,Netherlands,50.1
2008,31,New Zealand,50.0
2008,32,Croatia,49.7
2008,33,South Africa,49.5
2008,34,Iran,49.4
2008,35,Estonia,49.2
2008,36,Finland,49.1
2008,37,Austria,48.7
2008,38,Belarus,47.8
2008,39,Poland,47.2
2008,40,China,47.0
2008,41,Italy,47.0
2008,42,Japan,46.9
2008,43,Greece,46.8
2008,44,Ireland,46.4
2008,45,Cyprus,46.0
2008,46,Singapore,45.4
2008,47,Ukraine,44.7
2008,48,Kazakhstan,44.6
2008,49,Malaysia,44.2
2008,50,Russia,43.9
2008,51,Korea Rep,41.3
2008,52,Luxembourg,39.2
2008,53,Canada,37.6
2008,54,Australia,35.5
2008,55,USA,33.4
2008,56,Saudi Arabia,30.0
2020,1,
2020,2,
2020,3,
2020,4,Sweden,75.77
2020,5,Denmark,71.14
2020,6,Morocco,70.63
2020,7,United Kingdom,69.80
2020,8,Lithuania,66.22
2020,9,India,66.02
2020,10,Finland,63.25
2020,11,Chile,62.88
2020,12,Norway,61.14
2020,13,Luxembourg,60.91
2020,14,Malta,60.76
2020,15,Latvia,60.75
2020,16,Switzerland,60.61
2020,17,Ukraine,60.60
2020,18,France,57.90
2020,19,Egypt,57.53
2020,20,Croatia,56.97
2020,21,Brazil,55.82
2020,22,European Union,55.82
2020,23,Germany,55.78
2020,24,Romania,54.85
2020,25,Portugal,54.10
2020,26,Italy,53.92
2020,27,Slovak Republic,52.69
2020,28,Greece,52.59
2020,29,Netherlands,50.89
2020,30,China,48.16
2020,31,Estonia,48.05
2020,32,Mexico,47.01
2020,33,Thailand,46.76
